storage,scenario,timepoint,SOC_MWh
cats_76,climate_1,2035-01-01T00:00:00.000000-0800,24.0
cats_77,climate_1,2035-01-01T00:00:00.000000-0800,485.01066609750967
cats_78,climate_1,2035-01-01T00:00:00.000000-0800,1.732102967796239e-17
cats_79,climate_1,2035-01-01T00:00:00.000000-0800,1.598721155461524e-17
cats_80,climate_1,2035-01-01T00:00:00.000000-0800,4.060647494124044e-17
cats_81,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_82,climate_1,2035-01-01T00:00:00.000000-0800,30.799999999999997
cats_83,climate_1,2035-01-01T00:00:00.000000-0800,30.8
cats_84,climate_1,2035-01-01T00:00:00.000000-0800,1.7062578749931423e-17
cats_85,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_86,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_87,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_88,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_89,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_90,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_91,climate_1,2035-01-01T00:00:00.000000-0800,5.196
cats_92,climate_1,2035-01-01T00:00:00.000000-0800,15.0
cats_93,climate_1,2035-01-01T00:00:00.000000-0800,-1.6869929928419677e-18
cats_94,climate_1,2035-01-01T00:00:00.000000-0800,9.32
cats_95,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_96,climate_1,2035-01-01T00:00:00.000000-0800,8.6
cats_97,climate_1,2035-01-01T00:00:00.000000-0800,32.6
cats_98,climate_1,2035-01-01T00:00:00.000000-0800,4.223320175264157e-17
cats_99,climate_1,2035-01-01T00:00:00.000000-0800,124.0
cats_100,climate_1,2035-01-01T00:00:00.000000-0800,1.7398136671201823e-15
cats_101,climate_1,2035-01-01T00:00:00.000000-0800,1.0828798762152157e-15
cats_102,climate_1,2035-01-01T00:00:00.000000-0800,9.536127571230918e-16
cats_103,climate_1,2035-01-01T00:00:00.000000-0800,1.2562584533171308e-15
cats_104,climate_1,2035-01-01T00:00:00.000000-0800,6.701792993441221e-17
cats_105,climate_1,2035-01-01T00:00:00.000000-0800,4.278439340501061e-15
cats_106,climate_1,2035-01-01T00:00:00.000000-0800,-2.309265924099399e-17
cats_107,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_108,climate_1,2035-01-01T00:00:00.000000-0800,242.0
cats_109,climate_1,2035-01-01T00:00:00.000000-0800,-2.5232464011421747e-16
cats_110,climate_1,2035-01-01T00:00:00.000000-0800,7.181218072338415e-17
cats_111,climate_1,2035-01-01T00:00:00.000000-0800,2.568889656926986e-15
cats_112,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_113,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_114,climate_1,2035-01-01T00:00:00.000000-0800,1.0
cats_115,climate_1,2035-01-01T00:00:00.000000-0800,1.3577556756241336e-16
cats_116,climate_1,2035-01-01T00:00:00.000000-0800,40.0
cats_117,climate_1,2035-01-01T00:00:00.000000-0800,-2.753253165372776e-16
cats_118,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_119,climate_1,2035-01-01T00:00:00.000000-0800,1.4207516133035467e-16
cats_120,climate_1,2035-01-01T00:00:00.000000-0800,-5.576087368812331e-24
cats_121,climate_1,2035-01-01T00:00:00.000000-0800,4.9429057002892466e-17
cats_122,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_123,climate_1,2035-01-01T00:00:00.000000-0800,2.504485842617834e-17
cats_124,climate_1,2035-01-01T00:00:00.000000-0800,1.9939684973958264e-19
cats_125,climate_1,2035-01-01T00:00:00.000000-0800,5.0858815135633933e-17
cats_126,climate_1,2035-01-01T00:00:00.000000-0800,-1.0738799510575777e-17
cats_127,climate_1,2035-01-01T00:00:00.000000-0800,9.944187943501943e-16
cats_128,climate_1,2035-01-01T00:00:00.000000-0800,-5.094298612222327e-15
cats_129,climate_1,2035-01-01T00:00:00.000000-0800,80.0
cats_130,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_131,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_132,climate_1,2035-01-01T00:00:00.000000-0800,5.296220983129994e-16
cats_133,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_134,climate_1,2035-01-01T00:00:00.000000-0800,1.1130434782608698
cats_135,climate_1,2035-01-01T00:00:00.000000-0800,-1.1035549078532553e-15
cats_136,climate_1,2035-01-01T00:00:00.000000-0800,462.0
cats_137,climate_1,2035-01-01T00:00:00.000000-0800,0.9130434782608697
cats_138,climate_1,2035-01-01T00:00:00.000000-0800,8.299017058960821e-18
cats_139,climate_1,2035-01-01T00:00:00.000000-0800,-3.611748487092337e-18
cats_140,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_141,climate_1,2035-01-01T00:00:00.000000-0800,1.1
cats_142,climate_1,2035-01-01T00:00:00.000000-0800,1.0120000000000002
cats_143,climate_1,2035-01-01T00:00:00.000000-0800,7.298102087618921e-18
cats_144,climate_1,2035-01-01T00:00:00.000000-0800,6.050324578501945e-17
cats_145,climate_1,2035-01-01T00:00:00.000000-0800,-1.4192485312012046e-15
cats_146,climate_1,2035-01-01T00:00:00.000000-0800,-7.962611835909467e-16
cats_147,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_148,climate_1,2035-01-01T00:00:00.000000-0800,-7.662299063107798e-17
cats_149,climate_1,2035-01-01T00:00:00.000000-0800,1.3
cats_1,climate_1,2035-01-01T01:00:00.000000-0800,4.547221368596765e-16
cats_2,climate_1,2035-01-01T01:00:00.000000-0800,0.0
