generator,scenario,timepoint,DispatchGen_MW
cats_997,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_998,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_999,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1000,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1001,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1002,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1003,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1004,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1005,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1006,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1007,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1008,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1009,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1010,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1011,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1012,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1013,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1014,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1015,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1016,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1017,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1018,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1019,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1020,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1021,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1022,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1023,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1024,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1025,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1026,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1027,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1028,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1029,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1030,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1031,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1032,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1033,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1034,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1035,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1036,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1037,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1038,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1039,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1040,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1041,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1042,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1043,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1044,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1045,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1046,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1047,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1048,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1049,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1050,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1051,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1052,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1053,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1054,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1055,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1056,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1057,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1058,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1059,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1060,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1061,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1062,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1063,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1064,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1065,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1066,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1067,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1068,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1069,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1070,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1071,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1072,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1073,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1074,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1075,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1076,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1077,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1078,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1079,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1080,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1081,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1082,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1083,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1084,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1085,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1086,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1087,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1088,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1089,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1090,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1091,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1092,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1093,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1094,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1095,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1096,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1097,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1098,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1099,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1100,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1101,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1102,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1103,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1104,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1105,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1106,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1107,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1108,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1109,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1110,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1111,climate_1,2035-01-01T00:00:00.000000-0800,0.0
cats_1112,climate_1,2035-01-01T00:00:00.000000-0800,0.0
