generator,timepoint,DispatchGen_MW
cats_99,2035-01-01T00:00:00.000000-0800,0.0
cats_100,2035-01-01T00:00:00.000000-0800,0.0
cats_101,2035-01-01T00:00:00.000000-0800,0.0
cats_102,2035-01-01T00:00:00.000000-0800,19.507754051189348
cats_103,2035-01-01T00:00:00.000000-0800,0.0
cats_104,2035-01-01T00:00:00.000000-0800,0.0
cats_105,2035-01-01T00:00:00.000000-0800,0.0
cats_106,2035-01-01T00:00:00.000000-0800,0.0
cats_107,2035-01-01T00:00:00.000000-0800,0.0
cats_108,2035-01-01T00:00:00.000000-0800,0.0
cats_109,2035-01-01T00:00:00.000000-0800,0.0
cats_110,2035-01-01T00:00:00.000000-0800,0.0
cats_111,2035-01-01T00:00:00.000000-0800,49.8
cats_112,2035-01-01T00:00:00.000000-0800,44.95548186473573
cats_113,2035-01-01T00:00:00.000000-0800,49.8
cats_114,2035-01-01T00:00:00.000000-0800,0.0
cats_115,2035-01-01T00:00:00.000000-0800,0.0
cats_116,2035-01-01T00:00:00.000000-0800,0.0
cats_117,2035-01-01T00:00:00.000000-0800,0.0
cats_118,2035-01-01T00:00:00.000000-0800,0.0
cats_119,2035-01-01T00:00:00.000000-0800,0.0
cats_120,2035-01-01T00:00:00.000000-0800,90.0
cats_121,2035-01-01T00:00:00.000000-0800,21.611114624603132
cats_122,2035-01-01T00:00:00.000000-0800,0.0
cats_123,2035-01-01T00:00:00.000000-0800,0.0
cats_124,2035-01-01T00:00:00.000000-0800,0.0
cats_125,2035-01-01T00:00:00.000000-0800,0.0
cats_126,2035-01-01T00:00:00.000000-0800,0.0
cats_127,2035-01-01T00:00:00.000000-0800,0.0
cats_128,2035-01-01T00:00:00.000000-0800,0.0
cats_129,2035-01-01T00:00:00.000000-0800,0.0
cats_130,2035-01-01T00:00:00.000000-0800,0.0
cats_131,2035-01-01T00:00:00.000000-0800,0.0
cats_132,2035-01-01T00:00:00.000000-0800,0.0
cats_133,2035-01-01T00:00:00.000000-0800,10.5
cats_134,2035-01-01T00:00:00.000000-0800,2.5
cats_135,2035-01-01T00:00:00.000000-0800,0.0
cats_136,2035-01-01T00:00:00.000000-0800,0.0
cats_137,2035-01-01T00:00:00.000000-0800,0.0
cats_138,2035-01-01T00:00:00.000000-0800,0.0
cats_139,2035-01-01T00:00:00.000000-0800,0.0
cats_140,2035-01-01T00:00:00.000000-0800,0.0
cats_141,2035-01-01T00:00:00.000000-0800,0.0
cats_142,2035-01-01T00:00:00.000000-0800,0.0
cats_143,2035-01-01T00:00:00.000000-0800,3.069746896484384
cats_144,2035-01-01T00:00:00.000000-0800,13.1
cats_145,2035-01-01T00:00:00.000000-0800,0.0
cats_146,2035-01-01T00:00:00.000000-0800,0.0
cats_147,2035-01-01T00:00:00.000000-0800,0.0
cats_148,2035-01-01T00:00:00.000000-0800,0.0
cats_149,2035-01-01T00:00:00.000000-0800,0.0
cats_150,2035-01-01T00:00:00.000000-0800,0.0
cats_151,2035-01-01T00:00:00.000000-0800,6.0
cats_152,2035-01-01T00:00:00.000000-0800,0.0
cats_153,2035-01-01T00:00:00.000000-0800,0.0
cats_154,2035-01-01T00:00:00.000000-0800,0.0
cats_155,2035-01-01T00:00:00.000000-0800,0.0
cats_156,2035-01-01T00:00:00.000000-0800,0.0
cats_157,2035-01-01T00:00:00.000000-0800,0.0
cats_158,2035-01-01T00:00:00.000000-0800,0.0
cats_159,2035-01-01T00:00:00.000000-0800,0.0
cats_160,2035-01-01T00:00:00.000000-0800,0.0
cats_161,2035-01-01T00:00:00.000000-0800,0.0
cats_162,2035-01-01T00:00:00.000000-0800,0.0
cats_163,2035-01-01T00:00:00.000000-0800,0.0
cats_164,2035-01-01T00:00:00.000000-0800,0.0
cats_165,2035-01-01T00:00:00.000000-0800,0.0
cats_166,2035-01-01T00:00:00.000000-0800,0.0
cats_167,2035-01-01T00:00:00.000000-0800,0.0
cats_168,2035-01-01T00:00:00.000000-0800,0.0
cats_169,2035-01-01T00:00:00.000000-0800,0.0
cats_170,2035-01-01T00:00:00.000000-0800,0.0
cats_171,2035-01-01T00:00:00.000000-0800,0.0
cats_172,2035-01-01T00:00:00.000000-0800,0.0
cats_173,2035-01-01T00:00:00.000000-0800,0.0
cats_174,2035-01-01T00:00:00.000000-0800,0.0
cats_175,2035-01-01T00:00:00.000000-0800,0.0
cats_176,2035-01-01T00:00:00.000000-0800,0.0
