bus,storage,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_energy_MWh,cap_existing_power_MW,cap_max_power_MW,cost_fixed_energy_USDperkWh,cost_fixed_power_USDperkW,cost_variable_USDperMWh,duration_hr,efficiency_charge,efficiency_discharge,technology
420,cats_1,57.7513147,14.8788144,0.048441064,6504.0,271.0,271.0,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
420,cats_2,57.7513147,14.8788144,0.048441064,6504.0,271.0,271.0,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
420,cats_3,57.7513147,14.8788144,0.048441064,6504.0,271.0,271.0,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
420,cats_4,57.7513147,14.8788144,0.048441064,6504.0,271.0,271.0,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
2254,cats_5,57.7513147,14.8788144,0.048441064,100.80000000000001,4.2,4.2,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
2254,cats_6,57.7513147,14.8788144,0.048441064,100.80000000000001,4.2,4.2,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
2254,cats_7,57.7513147,14.8788144,0.048441064,100.80000000000001,4.2,4.2,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
2254,cats_8,57.7513147,14.8788144,0.048441064,100.80000000000001,4.2,4.2,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
2254,cats_9,57.7513147,14.8788144,0.048441064,100.80000000000001,4.2,4.2,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
2254,cats_10,57.7513147,14.8788144,0.048441064,100.80000000000001,4.2,4.2,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
1642,cats_11,57.7513147,14.8788144,0.048441064,1272.0,53.0,53.0,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
1642,cats_12,57.7513147,14.8788144,0.048441064,1272.0,53.0,53.0,0.0,0.0,0.58,24.0,0.92,0.92,hydroelectric pumped storage
