bus,bus_type,unused_node,voltage_kV
250,PQ,FALSE,66
251,PQ,FALSE,66
252,PQ,FALSE,66
253,PV,FALSE,66
254,PQ,FALSE,115
255,PQ,FALSE,66
256,PQ,FALSE,66
257,PQ,FALSE,115
258,PV,FALSE,66
259,PV,FALSE,66
260,PQ,FALSE,66
261,PQ,FALSE,115
262,PV,FALSE,66
263,PQ,FALSE,115
264,PQ,FALSE,66
265,PQ,FALSE,115
266,PQ,FALSE,115
267,PQ,FALSE,115
268,PV,FALSE,115
269,PV,FALSE,66
270,PV,FALSE,66
271,PQ,FALSE,66
272,PQ,FALSE,66
273,PQ,FALSE,66
274,PV,FALSE,115
275,PQ,FALSE,115
276,PV,FALSE,66
277,PQ,FALSE,115
278,PQ,FALSE,66
279,PQ,FALSE,66
280,PQ,FALSE,115
281,PQ,FALSE,115
282,PV,FALSE,115
283,PQ,FALSE,115
284,PV,FALSE,66
285,PV,FALSE,66
286,PV,FALSE,66
287,PQ,FALSE,66
288,PV,FALSE,66
289,PV,FALSE,66
290,PQ,FALSE,66
291,PQ,FALSE,66
292,PQ,FALSE,230
293,PQ,FALSE,66
294,PQ,FALSE,66
295,PV,FALSE,66
296,PQ,FALSE,66
297,PQ,FALSE,66
298,PQ,FALSE,66
299,PQ,FALSE,66
300,PV,FALSE,66
301,PQ,FALSE,66
302,PV,FALSE,66
303,PV,FALSE,230
304,PV,FALSE,66
305,PQ,FALSE,230
306,PQ,FALSE,66
307,PQ,FALSE,115
308,PV,FALSE,66
309,PV,FALSE,115
310,PQ,FALSE,66
311,PQ,FALSE,66
312,PQ,FALSE,66
313,PQ,FALSE,66
314,PQ,FALSE,66
315,PQ,FALSE,66
316,PQ,FALSE,66
317,PV,FALSE,66
318,PV,FALSE,115
319,PV,FALSE,66
320,PQ,FALSE,66
321,PQ,FALSE,66
322,PV,FALSE,66
323,PQ,FALSE,66
324,PQ,FALSE,66
325,PQ,FALSE,66
326,PV,FALSE,66
327,PQ,FALSE,66
328,PQ,FALSE,66
329,PQ,FALSE,66
330,PQ,FALSE,115
331,PQ,FALSE,115
332,PQ,FALSE,66
333,PV,FALSE,66
334,PQ,FALSE,66
335,PQ,FALSE,66
336,PQ,FALSE,66
337,PQ,FALSE,66
338,PQ,FALSE,66
339,PV,FALSE,66
340,PQ,FALSE,66
341,PV,FALSE,66
342,PV,FALSE,66
343,PQ,FALSE,66
344,PV,FALSE,66
345,PQ,FALSE,230
346,PV,FALSE,66
347,PV,FALSE,230
348,PV,FALSE,230
349,PQ,FALSE,230
350,PV,FALSE,66
351,PV,FALSE,66
352,PQ,FALSE,66
353,PQ,FALSE,66
354,PV,FALSE,66
355,PQ,FALSE,66
356,PQ,FALSE,66
357,PQ,FALSE,66
358,PQ,FALSE,66
359,PQ,FALSE,66
360,PV,FALSE,66
361,PQ,FALSE,115
362,PQ,FALSE,66
363,PV,FALSE,230
364,PQ,FALSE,66
365,PQ,FALSE,66
366,PQ,FALSE,66
367,PV,FALSE,66
368,PQ,FALSE,66
369,PQ,FALSE,66
370,PQ,FALSE,66
371,PV,FALSE,66
372,PQ,FALSE,66
373,PQ,FALSE,66
374,PQ,FALSE,66
375,PQ,FALSE,66
376,PQ,FALSE,66
377,PV,FALSE,66
378,PQ,FALSE,66
379,PQ,FALSE,66
380,PQ,FALSE,66
381,PQ,FALSE,66
382,PQ,FALSE,66
383,PQ,FALSE,66
384,PV,FALSE,66
385,PV,FALSE,66
386,PQ,FALSE,66
387,PQ,FALSE,66
388,PQ,FALSE,66
389,PQ,FALSE,66
390,PQ,FALSE,66
391,PQ,FALSE,66
392,PQ,FALSE,66
393,PV,FALSE,66
394,PV,FALSE,66
395,PQ,FALSE,66
396,PQ,FALSE,66
397,PQ,FALSE,66
398,PQ,FALSE,66
399,PQ,FALSE,66
