bus,scenario,timepoint,load_MW
1253,1,2035-01-01T14:00:00.000000-0800,37.959809
2363,1,2035-01-01T12:00:00.000000-0800,13.5690163
8659,1,2035-01-01T15:00:00.000000-0800,5.794860433
1959,1,2035-01-01T13:00:00.000000-0800,2.837869605
1771,1,2035-01-01T11:00:00.000000-0800,10.00299909
618,1,2035-01-01T13:00:00.000000-0800,2.614943384
8227,1,2035-01-01T06:00:00.000000-0800,15.51592692
620,1,2035-01-01T20:00:00.000000-0800,0.021728
192,1,2035-01-01T13:00:00.000000-0800,6.559182966
2011,1,2035-01-01T01:00:00.000000-0800,6.728972064
269,1,2035-01-01T00:00:00.000000-0800,8.46786595
947,1,2035-01-01T04:00:00.000000-0800,6.688156853
587,1,2035-01-01T17:00:00.000000-0800,2.646016439
473,1,2035-01-01T11:00:00.000000-0800,12.15348252
675,1,2035-01-01T05:00:00.000000-0800,45.05474403
1331,1,2035-01-01T21:00:00.000000-0800,2.333579751
2351,1,2035-01-01T08:00:00.000000-0800,2.0877776
139,1,2035-01-01T14:00:00.000000-0800,11.50107355
2156,1,2035-01-01T20:00:00.000000-0800,3.711345308
8000,1,2035-01-01T05:00:00.000000-0800,5.038257897
8475,1,2035-01-01T13:00:00.000000-0800,2.570363724
8592,1,2035-01-01T18:00:00.000000-0800,8.187319734
8723,1,2035-01-01T01:00:00.000000-0800,0.70780865
160,1,2035-01-01T01:00:00.000000-0800,12.12055106
1273,1,2035-01-01T11:00:00.000000-0800,4.048630466
564,1,2035-01-01T17:00:00.000000-0800,17.13207413
1462,1,2035-01-01T10:00:00.000000-0800,2.48193932
1339,1,2035-01-01T02:00:00.000000-0800,3.466741711
7904,1,2035-01-01T15:00:00.000000-0800,0.009555865
1293,1,2035-01-01T03:00:00.000000-0800,0.005858
8234,1,2035-01-01T00:00:00.000000-0800,0.1721116
1428,1,2035-01-01T08:00:00.000000-0800,26.41602029
1127,1,2035-01-01T06:00:00.000000-0800,82.05924306
398,1,2035-01-01T03:00:00.000000-0800,16.09894757
909,1,2035-01-01T21:00:00.000000-0800,1.01883923
1393,1,2035-01-01T06:00:00.000000-0800,8.705463648
1514,1,2035-01-01T17:00:00.000000-0800,19.27325103
853,1,2035-01-01T19:00:00.000000-0800,2.937921334
584,1,2035-01-01T15:00:00.000000-0800,14.46708375
204,1,2035-01-01T06:00:00.000000-0800,0.11258501
58,1,2035-01-01T23:00:00.000000-0800,5.0617896
842,1,2035-01-01T23:00:00.000000-0800,4.640864979
8007,1,2035-01-01T09:00:00.000000-0800,7.371085795
595,1,2035-01-01T00:00:00.000000-0800,1.22593799
2098,1,2035-01-01T22:00:00.000000-0800,13.80555618
685,1,2035-01-01T09:00:00.000000-0800,25.01112897
857,1,2035-01-01T19:00:00.000000-0800,1.447638022
261,1,2035-01-01T18:00:00.000000-0800,0.57962274
8292,1,2035-01-01T21:00:00.000000-0800,0.75410266
8761,1,2035-01-01T10:00:00.000000-0800,0.121213362
1364,1,2035-01-01T09:00:00.000000-0800,10.9056049
2339,1,2035-01-01T03:00:00.000000-0800,12.23423588
1190,1,2035-01-01T21:00:00.000000-0800,28.14128351
1105,1,2035-01-01T02:00:00.000000-0800,3.648471402
2006,1,2035-01-01T06:00:00.000000-0800,13.13395281
730,1,2035-01-01T09:00:00.000000-0800,4.449789205
814,1,2035-01-01T01:00:00.000000-0800,8.740076638
1530,1,2035-01-01T02:00:00.000000-0800,11.67251289
1713,1,2035-01-01T02:00:00.000000-0800,5.213122239
1764,1,2035-01-01T02:00:00.000000-0800,2.606736789
8759,1,2035-01-01T09:00:00.000000-0800,2.841229394
309,1,2035-01-01T11:00:00.000000-0800,56.68128701
8461,1,2035-01-01T11:00:00.000000-0800,0.053848846
8252,1,2035-01-01T02:00:00.000000-0800,18.16997275
1003,1,2035-01-01T11:00:00.000000-0800,8.071775361
2372,1,2035-01-01T21:00:00.000000-0800,0.010615
2256,1,2035-01-01T14:00:00.000000-0800,12.71609086
1724,1,2035-01-01T16:00:00.000000-0800,2.359859426
2059,1,2035-01-01T18:00:00.000000-0800,6.306445442
2280,1,2035-01-01T15:00:00.000000-0800,12.11836169
463,1,2035-01-01T00:00:00.000000-0800,9.369132638
7999,1,2035-01-01T23:00:00.000000-0800,4.157117265
154,1,2035-01-01T15:00:00.000000-0800,0.06190189
2376,1,2035-01-01T17:00:00.000000-0800,7.036555012
497,1,2035-01-01T18:00:00.000000-0800,0.756364293
2380,1,2035-01-01T11:00:00.000000-0800,61.30857459
2235,1,2035-01-01T14:00:00.000000-0800,6.837628599
8625,1,2035-01-01T14:00:00.000000-0800,0.127357536
1693,1,2035-01-01T18:00:00.000000-0800,12.53547431
8809,1,2035-01-01T15:00:00.000000-0800,18.63429847
714,1,2035-01-01T16:00:00.000000-0800,2.154000676
183,1,2035-01-01T22:00:00.000000-0800,1.737360201
540,1,2035-01-01T08:00:00.000000-0800,5.185451651
8625,1,2035-01-01T02:00:00.000000-0800,0.090647151
2033,1,2035-01-01T05:00:00.000000-0800,8.142602499
1302,1,2035-01-01T23:00:00.000000-0800,4.55729135
52,1,2035-01-01T01:00:00.000000-0800,24.7723063
1059,1,2035-01-01T01:00:00.000000-0800,43.3042656
712,1,2035-01-01T11:00:00.000000-0800,26.15604974
1392,1,2035-01-01T00:00:00.000000-0800,1.687351206
479,1,2035-01-01T14:00:00.000000-0800,7.053447009
8018,1,2035-01-01T12:00:00.000000-0800,58.69327596
8136,1,2035-01-01T05:00:00.000000-0800,0.19379958
173,1,2035-01-01T13:00:00.000000-0800,8.729865811
771,1,2035-01-01T17:00:00.000000-0800,13.22868785
957,1,2035-01-01T04:00:00.000000-0800,6.167471749
1412,1,2035-01-01T12:00:00.000000-0800,0.737908
