bus,scenario,timepoint,load_MW
636,1,2035-01-01T10:00:00.000000-0800,35.69459533
1127,1,2035-01-01T18:00:00.000000-0800,95.09805984
8777,1,2035-01-01T09:00:00.000000-0800,40.20967517
2026,1,2035-01-01T07:00:00.000000-0800,1.4297012
463,1,2035-01-01T23:00:00.000000-0800,10.74501281
490,1,2035-01-01T00:00:00.000000-0800,3.200759384
105,1,2035-01-01T13:00:00.000000-0800,0.137371113
241,1,2035-01-01T05:00:00.000000-0800,0.45541995
353,1,2035-01-01T18:00:00.000000-0800,18.42026028
7977,1,2035-01-01T13:00:00.000000-0800,1.202197018
2278,1,2035-01-01T01:00:00.000000-0800,0.050504558
8607,1,2035-01-01T06:00:00.000000-0800,130.0200642
939,1,2035-01-01T05:00:00.000000-0800,5.117023886
1525,1,2035-01-01T13:00:00.000000-0800,1.939541574
816,1,2035-01-01T17:00:00.000000-0800,27.15094949
1281,1,2035-01-01T13:00:00.000000-0800,2.935323846
988,1,2035-01-01T06:00:00.000000-0800,6.552257846
1943,1,2035-01-01T17:00:00.000000-0800,15.33165954
746,1,2035-01-01T13:00:00.000000-0800,6.091642449
1160,1,2035-01-01T19:00:00.000000-0800,0.018392
8652,1,2035-01-01T21:00:00.000000-0800,2.958903616
8727,1,2035-01-01T19:00:00.000000-0800,8.850479895
339,1,2035-01-01T13:00:00.000000-0800,2.1263264
330,1,2035-01-01T00:00:00.000000-0800,3.36204772
1805,1,2035-01-01T07:00:00.000000-0800,32.91700482
852,1,2035-01-01T23:00:00.000000-0800,4.903140552
836,1,2035-01-01T13:00:00.000000-0800,8.335240466
2017,1,2035-01-01T08:00:00.000000-0800,6.357198065
142,1,2035-01-01T15:00:00.000000-0800,14.2687842
403,1,2035-01-01T09:00:00.000000-0800,10.61191041
7,1,2035-01-01T09:00:00.000000-0800,71.4589116
1086,1,2035-01-01T02:00:00.000000-0800,5.739439027
1887,1,2035-01-01T11:00:00.000000-0800,1.18299111
7623,1,2035-01-01T11:00:00.000000-0800,2.170214278
1495,1,2035-01-01T08:00:00.000000-0800,2.765158334
1468,1,2035-01-01T13:00:00.000000-0800,5.828258445
8863,1,2035-01-01T13:00:00.000000-0800,5.359531088
1191,1,2035-01-01T14:00:00.000000-0800,1.168889263
2386,1,2035-01-01T15:00:00.000000-0800,0.104202037
8496,1,2035-01-01T07:00:00.000000-0800,0.5445002
1156,1,2035-01-01T07:00:00.000000-0800,7.891097773
8577,1,2035-01-01T03:00:00.000000-0800,3.732912165
970,1,2035-01-01T06:00:00.000000-0800,15.0741301
2041,1,2035-01-01T05:00:00.000000-0800,1.5619812
394,1,2035-01-01T08:00:00.000000-0800,17.27596595
2085,1,2035-01-01T03:00:00.000000-0800,31.19114591
353,1,2035-01-01T21:00:00.000000-0800,22.34126242
841,1,2035-01-01T09:00:00.000000-0800,12.86406817
1422,1,2035-01-01T05:00:00.000000-0800,8.910232969
7845,1,2035-01-01T23:00:00.000000-0800,44.04650848
8711,1,2035-01-01T08:00:00.000000-0800,6.2885474
1945,1,2035-01-01T17:00:00.000000-0800,17.12353494
8462,1,2035-01-01T19:00:00.000000-0800,3.428584285
8107,1,2035-01-01T23:00:00.000000-0800,0.319964234
2100,1,2035-01-01T04:00:00.000000-0800,13.63247426
1055,1,2035-01-01T02:00:00.000000-0800,2.379968541
1454,1,2035-01-01T00:00:00.000000-0800,26.80547912
1604,1,2035-01-01T02:00:00.000000-0800,2.9076912
8673,1,2035-01-01T05:00:00.000000-0800,0.86673694
1612,1,2035-01-01T11:00:00.000000-0800,66.58021049
1950,1,2035-01-01T01:00:00.000000-0800,45.98532417
1636,1,2035-01-01T09:00:00.000000-0800,1.088979399
8744,1,2035-01-01T16:00:00.000000-0800,12.10847763
1331,1,2035-01-01T03:00:00.000000-0800,2.37417953
2273,1,2035-01-01T18:00:00.000000-0800,0.531922
2053,1,2035-01-01T20:00:00.000000-0800,39.99908626
7961,1,2035-01-01T02:00:00.000000-0800,7.14356787
76,1,2035-01-01T04:00:00.000000-0800,1.326599641
52,1,2035-01-01T07:00:00.000000-0800,24.89908487
1249,1,2035-01-01T08:00:00.000000-0800,12.57323671
1772,1,2035-01-01T14:00:00.000000-0800,3.447248535
1391,1,2035-01-01T21:00:00.000000-0800,7.637107362
68,1,2035-01-01T06:00:00.000000-0800,2.2709617
508,1,2035-01-01T10:00:00.000000-0800,5.635099534
871,1,2035-01-01T14:00:00.000000-0800,10.1733024
1494,1,2035-01-01T18:00:00.000000-0800,24.50830873
857,1,2035-01-01T16:00:00.000000-0800,1.606913888
1821,1,2035-01-01T00:00:00.000000-0800,14.87438055
1132,1,2035-01-01T15:00:00.000000-0800,4.278431632
1556,1,2035-01-01T12:00:00.000000-0800,26.28451576
1333,1,2035-01-01T13:00:00.000000-0800,63.44494068
1298,1,2035-01-01T14:00:00.000000-0800,0.883858554
547,1,2035-01-01T22:00:00.000000-0800,17.71802248
509,1,2035-01-01T13:00:00.000000-0800,12.97980806
182,1,2035-01-01T01:00:00.000000-0800,0.006881
1115,1,2035-01-01T03:00:00.000000-0800,38.45247326
865,1,2035-01-01T15:00:00.000000-0800,1.4586611
1208,1,2035-01-01T06:00:00.000000-0800,3.204550727
273,1,2035-01-01T14:00:00.000000-0800,0.013833
1085,1,2035-01-01T02:00:00.000000-0800,52.38486404
1939,1,2035-01-01T03:00:00.000000-0800,21.12691831
1911,1,2035-01-01T08:00:00.000000-0800,14.72171778
1725,1,2035-01-01T11:00:00.000000-0800,0.6888931
596,1,2035-01-01T07:00:00.000000-0800,1.921351185
969,1,2035-01-01T07:00:00.000000-0800,9.023899853
1892,1,2035-01-01T07:00:00.000000-0800,0.431726401
7789,1,2035-01-01T06:00:00.000000-0800,7.939076816
7867,1,2035-01-01T15:00:00.000000-0800,13.20857335
1508,1,2035-01-01T23:00:00.000000-0800,11.71395056
1179,1,2035-01-01T23:00:00.000000-0800,21.05165182
676,1,2035-01-01T13:00:00.000000-0800,10.94097738
2304,1,2035-01-01T19:00:00.000000-0800,27.11987607
1034,1,2035-01-01T14:00:00.000000-0800,19.31780534
1152,1,2035-01-01T08:00:00.000000-0800,36.41639857
661,1,2035-01-01T11:00:00.000000-0800,7.090477299
35,1,2035-01-01T05:00:00.000000-0800,4.030951671
1175,1,2035-01-01T07:00:00.000000-0800,1.484044962
1769,1,2035-01-01T12:00:00.000000-0800,2.603133912
120,1,2035-01-01T07:00:00.000000-0800,1.8928583
178,1,2035-01-01T03:00:00.000000-0800,1.516771442
7751,1,2035-01-01T07:00:00.000000-0800,1.3137905
31,1,2035-01-01T02:00:00.000000-0800,5.003836381
319,1,2035-01-01T10:00:00.000000-0800,14.67724112
985,1,2035-01-01T08:00:00.000000-0800,5.323212872
393,1,2035-01-01T15:00:00.000000-0800,2.996148981
1362,1,2035-01-01T17:00:00.000000-0800,7.527569736
1078,1,2035-01-01T00:00:00.000000-0800,19.07960222
1526,1,2035-01-01T10:00:00.000000-0800,15.01994557
28,1,2035-01-01T21:00:00.000000-0800,2.623009348
7781,1,2035-01-01T21:00:00.000000-0800,6.936755904
7851,1,2035-01-01T23:00:00.000000-0800,2.135337113
644,1,2035-01-01T10:00:00.000000-0800,4.747032181
2074,1,2035-01-01T12:00:00.000000-0800,22.97962699
2265,1,2035-01-01T13:00:00.000000-0800,0.468774048
1894,1,2035-01-01T14:00:00.000000-0800,10.77638339
1953,1,2035-01-01T21:00:00.000000-0800,0.84194574
1203,1,2035-01-01T02:00:00.000000-0800,10.0022962
1064,1,2035-01-01T14:00:00.000000-0800,14.69294401
365,1,2035-01-01T07:00:00.000000-0800,27.06648827
5,1,2035-01-01T23:00:00.000000-0800,50.77550688
1842,1,2035-01-01T19:00:00.000000-0800,0.2105843
764,1,2035-01-01T03:00:00.000000-0800,3.2552053
1037,1,2035-01-01T09:00:00.000000-0800,11.39152535
41,1,2035-01-01T01:00:00.000000-0800,2.1320654
774,1,2035-01-01T09:00:00.000000-0800,10.1359325
8301,1,2035-01-01T20:00:00.000000-0800,8.184884042
1480,1,2035-01-01T16:00:00.000000-0800,0.38177935
1026,1,2035-01-01T21:00:00.000000-0800,21.16037756
1293,1,2035-01-01T00:00:00.000000-0800,0.011043999
1025,1,2035-01-01T01:00:00.000000-0800,16.55006563
457,1,2035-01-01T13:00:00.000000-0800,23.35750153
1395,1,2035-01-01T03:00:00.000000-0800,12.27891627
8628,1,2035-01-01T11:00:00.000000-0800,10.05370569
988,1,2035-01-01T00:00:00.000000-0800,4.676421432
90,1,2035-01-01T05:00:00.000000-0800,8.967797061
8790,1,2035-01-01T05:00:00.000000-0800,11.694158
1240,1,2035-01-01T07:00:00.000000-0800,10.2519308
2164,1,2035-01-01T13:00:00.000000-0800,43.83844649
2175,1,2035-01-01T02:00:00.000000-0800,0.718027533
622,1,2035-01-01T12:00:00.000000-0800,0.631107779
8082,1,2035-01-01T12:00:00.000000-0800,79.31141375
2317,1,2035-01-01T00:00:00.000000-0800,0.49569191
8574,1,2035-01-01T14:00:00.000000-0800,9.092569696
1153,1,2035-01-01T11:00:00.000000-0800,1.8301041
1165,1,2035-01-01T06:00:00.000000-0800,0.705045033
7988,1,2035-01-01T06:00:00.000000-0800,11.23674093
2009,1,2035-01-01T22:00:00.000000-0800,2.93150566
1786,1,2035-01-01T15:00:00.000000-0800,0.546588674
522,1,2035-01-01T06:00:00.000000-0800,11.33588343
2011,1,2035-01-01T08:00:00.000000-0800,7.677990716
1714,1,2035-01-01T08:00:00.000000-0800,0.004153
967,1,2035-01-01T06:00:00.000000-0800,1.510628571
2083,1,2035-01-01T05:00:00.000000-0800,10.89158627
8599,1,2035-01-01T07:00:00.000000-0800,6.679986131
8403,1,2035-01-01T14:00:00.000000-0800,0.4860819
8335,1,2035-01-01T16:00:00.000000-0800,21.6616496
960,1,2035-01-01T06:00:00.000000-0800,8.722218013
626,1,2035-01-01T06:00:00.000000-0800,2.229203411
219,1,2035-01-01T03:00:00.000000-0800,13.76508025
1286,1,2035-01-01T18:00:00.000000-0800,0.33014212
321,1,2035-01-01T01:00:00.000000-0800,6.761346747
327,1,2035-01-01T21:00:00.000000-0800,6.579882587
588,1,2035-01-01T18:00:00.000000-0800,3.659324926
94,1,2035-01-01T00:00:00.000000-0800,4.001896075
887,1,2035-01-01T16:00:00.000000-0800,8.030215486
773,1,2035-01-01T19:00:00.000000-0800,11.49527706
2163,1,2035-01-01T18:00:00.000000-0800,2.113533865
7637,1,2035-01-01T16:00:00.000000-0800,5.800194175
1177,1,2035-01-01T21:00:00.000000-0800,4.750978077
259,1,2035-01-01T18:00:00.000000-0800,174.351083
8356,1,2035-01-01T11:00:00.000000-0800,45.31396088
2153,1,2035-01-01T00:00:00.000000-0800,32.4356745
160,1,2035-01-01T13:00:00.000000-0800,10.89512064
456,1,2035-01-01T12:00:00.000000-0800,3.129760739
874,1,2035-01-01T17:00:00.000000-0800,3.604817713
989,1,2035-01-01T03:00:00.000000-0800,1.267568021
2147,1,2035-01-01T12:00:00.000000-0800,0.855836834
263,1,2035-01-01T00:00:00.000000-0800,48.19268538
7715,1,2035-01-01T03:00:00.000000-0800,37.9727997
488,1,2035-01-01T13:00:00.000000-0800,6.180905792
104,1,2035-01-01T17:00:00.000000-0800,20.32942493
2316,1,2035-01-01T22:00:00.000000-0800,14.18025705
7789,1,2035-01-01T09:00:00.000000-0800,10.08108475
914,1,2035-01-01T04:00:00.000000-0800,5.448601721
31,1,2035-01-01T08:00:00.000000-0800,5.107920322
8775,1,2035-01-01T22:00:00.000000-0800,3.5096558
2403,1,2035-01-01T20:00:00.000000-0800,11.86727907
1312,1,2035-01-01T13:00:00.000000-0800,1.1160856
1941,1,2035-01-01T17:00:00.000000-0800,5.950092138
1241,1,2035-01-01T20:00:00.000000-0800,61.31747093
20,1,2035-01-01T08:00:00.000000-0800,60.98075334
460,1,2035-01-01T02:00:00.000000-0800,4.189673833
8556,1,2035-01-01T04:00:00.000000-0800,11.16799624
1146,1,2035-01-01T14:00:00.000000-0800,2.111848105
1413,1,2035-01-01T10:00:00.000000-0800,21.10032956
694,1,2035-01-01T02:00:00.000000-0800,18.18414224
8807,1,2035-01-01T14:00:00.000000-0800,3.139555376
8303,1,2035-01-01T17:00:00.000000-0800,0.9631144
1320,1,2035-01-01T03:00:00.000000-0800,7.877267705
8692,1,2035-01-01T04:00:00.000000-0800,3.42794172
1426,1,2035-01-01T20:00:00.000000-0800,2.546339138
1105,1,2035-01-01T10:00:00.000000-0800,0.422514718
8776,1,2035-01-01T11:00:00.000000-0800,1.900270753
8394,1,2035-01-01T16:00:00.000000-0800,2.179655705
8229,1,2035-01-01T20:00:00.000000-0800,2.02484018
909,1,2035-01-01T12:00:00.000000-0800,0.94669617
490,1,2035-01-01T01:00:00.000000-0800,3.224898561
507,1,2035-01-01T00:00:00.000000-0800,8.404994118
1910,1,2035-01-01T10:00:00.000000-0800,0.08711605
2058,1,2035-01-01T14:00:00.000000-0800,12.19657668
2102,1,2035-01-01T09:00:00.000000-0800,26.02587801
555,1,2035-01-01T20:00:00.000000-0800,11.22120624
402,1,2035-01-01T05:00:00.000000-0800,7.285487245
442,1,2035-01-01T23:00:00.000000-0800,8.059719736
919,1,2035-01-01T04:00:00.000000-0800,1.9303489
7837,1,2035-01-01T21:00:00.000000-0800,0.93332654
1383,1,2035-01-01T12:00:00.000000-0800,10.37102956
1367,1,2035-01-01T15:00:00.000000-0800,8.519881516
1230,1,2035-01-01T22:00:00.000000-0800,5.402901988
8098,1,2035-01-01T06:00:00.000000-0800,2.232402762
1495,1,2035-01-01T03:00:00.000000-0800,4.484142939
591,1,2035-01-01T07:00:00.000000-0800,2.238404582
1831,1,2035-01-01T07:00:00.000000-0800,0.009174
797,1,2035-01-01T05:00:00.000000-0800,18.60387788
7832,1,2035-01-01T00:00:00.000000-0800,13.5966443
2146,1,2035-01-01T13:00:00.000000-0800,43.61851786
8115,1,2035-01-01T19:00:00.000000-0800,15.92993346
1968,1,2035-01-01T01:00:00.000000-0800,3.165881169
1058,1,2035-01-01T18:00:00.000000-0800,26.78837129
7971,1,2035-01-01T10:00:00.000000-0800,11.6292062
586,1,2035-01-01T07:00:00.000000-0800,1.180068137
876,1,2035-01-01T14:00:00.000000-0800,4.332483471
2383,1,2035-01-01T20:00:00.000000-0800,9.154182285
502,1,2035-01-01T00:00:00.000000-0800,9.758648827
2025,1,2035-01-01T01:00:00.000000-0800,15.62604296
961,1,2035-01-01T04:00:00.000000-0800,5.376169798
2181,1,2035-01-01T08:00:00.000000-0800,19.42906429
1107,1,2035-01-01T06:00:00.000000-0800,7.645125806
456,1,2035-01-01T06:00:00.000000-0800,4.113241264
2007,1,2035-01-01T15:00:00.000000-0800,12.25230365
235,1,2035-01-01T19:00:00.000000-0800,0.01153
8113,1,2035-01-01T09:00:00.000000-0800,17.73606593
1707,1,2035-01-01T17:00:00.000000-0800,0.001325
2347,1,2035-01-01T21:00:00.000000-0800,5.497255272
234,1,2035-01-01T08:00:00.000000-0800,0.14863521
317,1,2035-01-01T06:00:00.000000-0800,10.93472312
73,1,2035-01-01T03:00:00.000000-0800,7.175527256
2304,1,2035-01-01T20:00:00.000000-0800,33.54147963
594,1,2035-01-01T14:00:00.000000-0800,2.102728714
1813,1,2035-01-01T14:00:00.000000-0800,28.33576889
1021,1,2035-01-01T08:00:00.000000-0800,32.0522756
41,1,2035-01-01T18:00:00.000000-0800,1.6660376
7829,1,2035-01-01T06:00:00.000000-0800,26.53316528
707,1,2035-01-01T02:00:00.000000-0800,3.835059372
581,1,2035-01-01T01:00:00.000000-0800,22.20165457
1979,1,2035-01-01T01:00:00.000000-0800,22.50000503
942,1,2035-01-01T04:00:00.000000-0800,3.238979698
1137,1,2035-01-01T08:00:00.000000-0800,14.51933119
8268,1,2035-01-01T02:00:00.000000-0800,3.469771067
226,1,2035-01-01T12:00:00.000000-0800,6.105914733
464,1,2035-01-01T12:00:00.000000-0800,18.40293077
8073,1,2035-01-01T18:00:00.000000-0800,1.4564628
966,1,2035-01-01T08:00:00.000000-0800,1.299271614
685,1,2035-01-01T03:00:00.000000-0800,21.8424423
1920,1,2035-01-01T15:00:00.000000-0800,14.12918605
2229,1,2035-01-01T15:00:00.000000-0800,11.87627442
8252,1,2035-01-01T15:00:00.000000-0800,18.13500286
8745,1,2035-01-01T10:00:00.000000-0800,17.02515788
1551,1,2035-01-01T21:00:00.000000-0800,1.366849663
8086,1,2035-01-01T01:00:00.000000-0800,1.7126056
1234,1,2035-01-01T08:00:00.000000-0800,2.565894703
577,1,2035-01-01T18:00:00.000000-0800,3.90457918
579,1,2035-01-01T12:00:00.000000-0800,1.516904289
544,1,2035-01-01T23:00:00.000000-0800,5.208250857
1440,1,2035-01-01T12:00:00.000000-0800,29.45316598
1342,1,2035-01-01T01:00:00.000000-0800,17.72233724
1426,1,2035-01-01T13:00:00.000000-0800,3.30975782
2023,1,2035-01-01T16:00:00.000000-0800,31.9509271
498,1,2035-01-01T11:00:00.000000-0800,-0.169020015
1033,1,2035-01-01T10:00:00.000000-0800,49.58846448
1028,1,2035-01-01T04:00:00.000000-0800,20.23933279
1248,1,2035-01-01T12:00:00.000000-0800,52.53841762
1832,1,2035-01-01T20:00:00.000000-0800,38.8903293
842,1,2035-01-01T10:00:00.000000-0800,5.100990626
1733,1,2035-01-01T06:00:00.000000-0800,1.071509013
1885,1,2035-01-01T09:00:00.000000-0800,53.50040712
7948,1,2035-01-01T13:00:00.000000-0800,6.669175889
8177,1,2035-01-01T22:00:00.000000-0800,2.057103771
1012,1,2035-01-01T13:00:00.000000-0800,30.11193748
937,1,2035-01-01T19:00:00.000000-0800,7.847365434
2087,1,2035-01-01T21:00:00.000000-0800,16.75924341
2403,1,2035-01-01T10:00:00.000000-0800,14.95926104
2276,1,2035-01-01T13:00:00.000000-0800,2.049325981
1208,1,2035-01-01T20:00:00.000000-0800,4.753959325
1251,1,2035-01-01T03:00:00.000000-0800,27.01490441
8688,1,2035-01-01T23:00:00.000000-0800,38.4225811
8084,1,2035-01-01T13:00:00.000000-0800,3.642772108
1906,1,2035-01-01T16:00:00.000000-0800,24.96077388
7681,1,2035-01-01T02:00:00.000000-0800,0.418680065
350,1,2035-01-01T07:00:00.000000-0800,48.22968723
8475,1,2035-01-01T00:00:00.000000-0800,2.710645558
304,1,2035-01-01T04:00:00.000000-0800,10.6084974
2331,1,2035-01-01T08:00:00.000000-0800,0.68119943
673,1,2035-01-01T08:00:00.000000-0800,21.54508212
176,1,2035-01-01T12:00:00.000000-0800,4.224219165
1320,1,2035-01-01T20:00:00.000000-0800,8.260022279
1560,1,2035-01-01T21:00:00.000000-0800,6.054550836
1240,1,2035-01-01T21:00:00.000000-0800,10.01031005
620,1,2035-01-01T07:00:00.000000-0800,0.008242999
1692,1,2035-01-01T16:00:00.000000-0800,5.618119547
571,1,2035-01-01T06:00:00.000000-0800,0.32537924
268,1,2035-01-01T16:00:00.000000-0800,0.04131244
1829,1,2035-01-01T03:00:00.000000-0800,14.85739055
946,1,2035-01-01T03:00:00.000000-0800,0.008586
2220,1,2035-01-01T05:00:00.000000-0800,0.1249553
1296,1,2035-01-01T01:00:00.000000-0800,0.055484207
1861,1,2035-01-01T07:00:00.000000-0800,65.22579418
8020,1,2035-01-01T14:00:00.000000-0800,4.001625307
2222,1,2035-01-01T18:00:00.000000-0800,15.36702164
1634,1,2035-01-01T06:00:00.000000-0800,0.488336402
599,1,2035-01-01T09:00:00.000000-0800,0.7996558
24,1,2035-01-01T04:00:00.000000-0800,3.6791052
1706,1,2035-01-01T06:00:00.000000-0800,0.005838
870,1,2035-01-01T09:00:00.000000-0800,9.090547439
332,1,2035-01-01T15:00:00.000000-0800,2.222862872
2102,1,2035-01-01T15:00:00.000000-0800,26.04558832
815,1,2035-01-01T17:00:00.000000-0800,4.622850914
947,1,2035-01-01T21:00:00.000000-0800,7.081797118
2016,1,2035-01-01T11:00:00.000000-0800,12.10220531
2302,1,2035-01-01T23:00:00.000000-0800,11.02175
1920,1,2035-01-01T04:00:00.000000-0800,10.67984936
7955,1,2035-01-01T17:00:00.000000-0800,5.371756043
7692,1,2035-01-01T18:00:00.000000-0800,11.30587375
8367,1,2035-01-01T21:00:00.000000-0800,4.106569914
403,1,2035-01-01T23:00:00.000000-0800,11.08551179
1170,1,2035-01-01T20:00:00.000000-0800,1.2196228
1519,1,2035-01-01T04:00:00.000000-0800,1.319214972
1462,1,2035-01-01T12:00:00.000000-0800,1.95003393
2191,1,2035-01-01T00:00:00.000000-0800,0.975285542
8808,1,2035-01-01T02:00:00.000000-0800,9.427696
328,1,2035-01-01T06:00:00.000000-0800,12.30273429
544,1,2035-01-01T16:00:00.000000-0800,8.582516047
613,1,2035-01-01T14:00:00.000000-0800,16.69439444
8342,1,2035-01-01T03:00:00.000000-0800,1.162712898
730,1,2035-01-01T00:00:00.000000-0800,13.54958169
590,1,2035-01-01T15:00:00.000000-0800,2.61603277
1539,1,2035-01-01T21:00:00.000000-0800,17.40487805
2290,1,2035-01-01T02:00:00.000000-0800,19.45082584
1300,1,2035-01-01T23:00:00.000000-0800,0.61156805
8638,1,2035-01-01T08:00:00.000000-0800,4.361313819
1739,1,2035-01-01T07:00:00.000000-0800,11.2055249
8590,1,2035-01-01T08:00:00.000000-0800,13.70100797
8487,1,2035-01-01T12:00:00.000000-0800,3.945632981
8331,1,2035-01-01T01:00:00.000000-0800,1.084597903
1746,1,2035-01-01T13:00:00.000000-0800,1.260823413
1446,1,2035-01-01T19:00:00.000000-0800,1.946357269
290,1,2035-01-01T03:00:00.000000-0800,15.55061017
476,1,2035-01-01T13:00:00.000000-0800,15.63568643
1206,1,2035-01-01T15:00:00.000000-0800,12.10301011
8704,1,2035-01-01T11:00:00.000000-0800,6.3043066
8172,1,2035-01-01T14:00:00.000000-0800,0.018139002
1128,1,2035-01-01T22:00:00.000000-0800,38.62879031
338,1,2035-01-01T08:00:00.000000-0800,1.761886447
1343,1,2035-01-01T18:00:00.000000-0800,10.44056322
