name,kv,type,lat,lon,slack
213,66,substation,-1,-1,0
214,66,substation,-1,-1,0
215,66,substation,-1,-1,0
216,66,substation,-1,-1,0
217,66,substation,-1,-1,0
218,115,substation,-1,-1,0
219,115,substation,-1,-1,0
220,230,substation,-1,-1,0
221,66,substation,-1,-1,0
222,66,substation,-1,-1,0
223,66,substation,-1,-1,0
224,66,substation,-1,-1,0
225,66,substation,-1,-1,0
226,66,substation,-1,-1,0
227,115,substation,-1,-1,0
228,66,substation,-1,-1,0
229,66,substation,-1,-1,0
230,66,substation,-1,-1,0
231,66,substation,-1,-1,0
232,66,substation,-1,-1,0
233,66,substation,-1,-1,0
234,115,substation,-1,-1,0
235,66,substation,-1,-1,0
236,115,substation,-1,-1,0
237,66,substation,-1,-1,0
238,115,substation,-1,-1,0
239,115,substation,-1,-1,0
240,66,substation,-1,-1,0
241,66,substation,-1,-1,0
242,115,substation,-1,-1,0
243,115,substation,-1,-1,0
244,115,substation,-1,-1,0
245,115,substation,-1,-1,0
246,66,substation,-1,-1,0
247,66,substation,-1,-1,0
248,115,substation,-1,-1,0
249,66,substation,-1,-1,0
250,66,substation,-1,-1,0
251,66,substation,-1,-1,0
252,66,substation,-1,-1,0
253,66,substation,-1,-1,0
254,115,substation,-1,-1,0
255,66,substation,-1,-1,0
256,66,substation,-1,-1,0
257,115,substation,-1,-1,0
258,66,substation,-1,-1,0
259,66,substation,-1,-1,0
260,66,substation,-1,-1,0
261,115,substation,-1,-1,0
262,66,substation,-1,-1,0
263,115,substation,-1,-1,0
264,66,substation,-1,-1,0
265,115,substation,-1,-1,0
266,115,substation,-1,-1,0
267,115,substation,-1,-1,0
268,115,substation,-1,-1,0
269,66,substation,-1,-1,0
270,66,substation,-1,-1,0
271,66,substation,-1,-1,0
272,66,substation,-1,-1,0
273,66,substation,-1,-1,0
274,115,substation,-1,-1,0
275,115,substation,-1,-1,0
276,66,substation,-1,-1,0
277,115,substation,-1,-1,0
278,66,substation,-1,-1,0
279,66,substation,-1,-1,0
280,115,substation,-1,-1,0
281,115,substation,-1,-1,0
282,115,substation,-1,-1,0
283,115,substation,-1,-1,0
284,66,substation,-1,-1,0
285,66,substation,-1,-1,0
286,66,substation,-1,-1,0
287,66,substation,-1,-1,0
288,66,substation,-1,-1,0
289,66,substation,-1,-1,0
290,66,substation,-1,-1,0
291,66,substation,-1,-1,0
292,230,substation,-1,-1,0
293,66,substation,-1,-1,0
294,66,substation,-1,-1,0
295,66,substation,-1,-1,0
296,66,substation,-1,-1,0
297,66,substation,-1,-1,0
298,66,substation,-1,-1,0
299,66,substation,-1,-1,0
300,66,substation,-1,-1,0
301,66,substation,-1,-1,0
302,66,substation,-1,-1,0
303,230,substation,-1,-1,0
304,66,substation,-1,-1,0
305,230,substation,-1,-1,0
306,66,substation,-1,-1,0
307,115,substation,-1,-1,0
308,66,substation,-1,-1,0
309,115,substation,-1,-1,0
310,66,substation,-1,-1,0
311,66,substation,-1,-1,0
312,66,substation,-1,-1,0
313,66,substation,-1,-1,0
314,66,substation,-1,-1,0
315,66,substation,-1,-1,0
316,66,substation,-1,-1,0
317,66,substation,-1,-1,0
318,115,substation,-1,-1,0
319,66,substation,-1,-1,0
320,66,substation,-1,-1,0
321,66,substation,-1,-1,0
322,66,substation,-1,-1,0
323,66,substation,-1,-1,0
324,66,substation,-1,-1,0
325,66,substation,-1,-1,0
326,66,substation,-1,-1,0
327,66,substation,-1,-1,0
328,66,substation,-1,-1,0
329,66,substation,-1,-1,0
330,115,substation,-1,-1,0
331,115,substation,-1,-1,0
332,66,substation,-1,-1,0
333,66,substation,-1,-1,0
334,66,substation,-1,-1,0
335,66,substation,-1,-1,0
336,66,substation,-1,-1,0
337,66,substation,-1,-1,0
338,66,substation,-1,-1,0
339,66,substation,-1,-1,0
340,66,substation,-1,-1,0
341,66,substation,-1,-1,0
342,66,substation,-1,-1,0
343,66,substation,-1,-1,0
344,66,substation,-1,-1,0
345,230,substation,-1,-1,0
346,66,substation,-1,-1,0
347,230,substation,-1,-1,0
348,230,substation,-1,-1,0
349,230,substation,-1,-1,0
350,66,substation,-1,-1,0
351,66,substation,-1,-1,0
352,66,substation,-1,-1,0
353,66,substation,-1,-1,0
354,66,substation,-1,-1,0
355,66,substation,-1,-1,0
356,66,substation,-1,-1,0
357,66,substation,-1,-1,0
358,66,substation,-1,-1,0
359,66,substation,-1,-1,0
360,66,substation,-1,-1,0
361,115,substation,-1,-1,0
362,66,substation,-1,-1,0
363,230,substation,-1,-1,0
364,66,substation,-1,-1,0
365,66,substation,-1,-1,0
366,66,substation,-1,-1,0
367,66,substation,-1,-1,0
368,66,substation,-1,-1,0
369,66,substation,-1,-1,0
370,66,substation,-1,-1,0
371,66,substation,-1,-1,0
372,66,substation,-1,-1,0
373,66,substation,-1,-1,0
374,66,substation,-1,-1,0
375,66,substation,-1,-1,0
376,66,substation,-1,-1,0
377,66,substation,-1,-1,0
378,66,substation,-1,-1,0
379,66,substation,-1,-1,0
380,66,substation,-1,-1,0
381,66,substation,-1,-1,0
382,66,substation,-1,-1,0
383,66,substation,-1,-1,0
384,66,substation,-1,-1,0
385,66,substation,-1,-1,0
386,66,substation,-1,-1,0
387,66,substation,-1,-1,0
388,66,substation,-1,-1,0
389,66,substation,-1,-1,0
390,66,substation,-1,-1,0
391,66,substation,-1,-1,0
392,66,substation,-1,-1,0
393,66,substation,-1,-1,0
394,66,substation,-1,-1,0
395,66,substation,-1,-1,0
396,66,substation,-1,-1,0
397,66,substation,-1,-1,0
398,66,substation,-1,-1,0
399,66,substation,-1,-1,0
400,66,substation,-1,-1,0
401,66,substation,-1,-1,0
402,66,substation,-1,-1,0
403,66,substation,-1,-1,0
404,66,substation,-1,-1,0
405,66,substation,-1,-1,0
406,66,substation,-1,-1,0
407,66,substation,-1,-1,0
408,66,substation,-1,-1,0
409,66,substation,-1,-1,0
410,66,substation,-1,-1,0
411,66,substation,-1,-1,0
412,66,substation,-1,-1,0
413,66,substation,-1,-1,0
414,66,substation,-1,-1,0
415,66,substation,-1,-1,0
416,66,substation,-1,-1,0
417,66,substation,-1,-1,0
418,66,substation,-1,-1,0
419,66,substation,-1,-1,0
420,66,substation,-1,-1,0
421,66,substation,-1,-1,0
422,66,substation,-1,-1,0
423,66,substation,-1,-1,0
424,66,substation,-1,-1,0
425,66,substation,-1,-1,0
426,66,substation,-1,-1,0
