gen_name,sc_name,tp_name,capacity_factor
318,sc1,1,1
319,sc1,1,1
320,sc1,1,1
321,sc1,1,1
322,sc1,1,1
323,sc1,1,1
324,sc1,1,1
325,sc1,1,1
326,sc1,1,1
327,sc1,1,1
328,sc1,1,1
329,sc1,1,1
330,sc1,1,1
331,sc1,1,1
332,sc1,1,1
333,sc1,1,1
334,sc1,1,1
335,sc1,1,1
336,sc1,1,1
337,sc1,1,1
338,sc1,1,1
339,sc1,1,1
340,sc1,1,1
341,sc1,1,1
342,sc1,1,1
343,sc1,1,1
344,sc1,1,1
345,sc1,1,1
346,sc1,1,1
347,sc1,1,1
348,sc1,1,1
349,sc1,1,1
350,sc1,1,1
351,sc1,1,1
352,sc1,1,1
353,sc1,1,1
354,sc1,1,1
355,sc1,1,1
356,sc1,1,1
357,sc1,1,1
358,sc1,1,1
359,sc1,1,1
360,sc1,1,1
361,sc1,1,1
362,sc1,1,1
363,sc1,1,1
364,sc1,1,1
365,sc1,1,1
366,sc1,1,1
367,sc1,1,1
368,sc1,1,1
369,sc1,1,1
370,sc1,1,1
371,sc1,1,1
372,sc1,1,1
373,sc1,1,1
374,sc1,1,1
375,sc1,1,1
376,sc1,1,1
377,sc1,1,1
378,sc1,1,1
379,sc1,1,1
380,sc1,1,1
381,sc1,1,1
382,sc1,1,1
383,sc1,1,1
384,sc1,1,1
385,sc1,1,1
386,sc1,1,1
387,sc1,1,1
388,sc1,1,1
389,sc1,1,1
390,sc1,1,1
391,sc1,1,1
392,sc1,1,1
393,sc1,1,1
394,sc1,1,1
395,sc1,1,1
396,sc1,1,1
397,sc1,1,1
398,sc1,1,1
399,sc1,1,1
400,sc1,1,1
401,sc1,1,1
402,sc1,1,1
403,sc1,1,1
404,sc1,1,1
405,sc1,1,1
406,sc1,1,1
407,sc1,1,1
408,sc1,1,1
409,sc1,1,1
410,sc1,1,1
411,sc1,1,1
412,sc1,1,1
413,sc1,1,1
414,sc1,1,1
415,sc1,1,1
416,sc1,1,1
417,sc1,1,1
418,sc1,1,1
419,sc1,1,1
420,sc1,1,1
421,sc1,1,1
422,sc1,1,1
423,sc1,1,1
424,sc1,1,1
425,sc1,1,1
426,sc1,1,1
427,sc1,1,1
428,sc1,1,1
429,sc1,1,1
430,sc1,1,1
431,sc1,1,1
432,sc1,1,1
433,sc1,1,1
434,sc1,1,1
435,sc1,1,1
436,sc1,1,1
437,sc1,1,1
438,sc1,1,1
439,sc1,1,1
440,sc1,1,1
441,sc1,1,1
442,sc1,1,1
443,sc1,1,1
444,sc1,1,1
445,sc1,1,1
446,sc1,1,1
447,sc1,1,1
448,sc1,1,1
449,sc1,1,1
450,sc1,1,1
451,sc1,1,1
452,sc1,1,1
453,sc1,1,1
454,sc1,1,1
455,sc1,1,1
456,sc1,1,1
457,sc1,1,1
458,sc1,1,1
459,sc1,1,1
460,sc1,1,1
461,sc1,1,1
462,sc1,1,1
463,sc1,1,1
464,sc1,1,1
465,sc1,1,1
466,sc1,1,1
467,sc1,1,1
468,sc1,1,1
469,sc1,1,1
470,sc1,1,1
471,sc1,1,1
472,sc1,1,1
473,sc1,1,1
474,sc1,1,1
475,sc1,1,1
476,sc1,1,1
477,sc1,1,1
478,sc1,1,1
479,sc1,1,1
480,sc1,1,1
481,sc1,1,1
482,sc1,1,1
483,sc1,1,1
484,sc1,1,1
485,sc1,1,1
486,sc1,1,1
487,sc1,1,1
488,sc1,1,1
489,sc1,1,1
490,sc1,1,1
491,sc1,1,1
492,sc1,1,1
493,sc1,1,1
494,sc1,1,1
495,sc1,1,1
496,sc1,1,1
497,sc1,1,1
498,sc1,1,1
499,sc1,1,1
500,sc1,1,1
501,sc1,1,1
502,sc1,1,1
503,sc1,1,1
504,sc1,1,1
505,sc1,1,1
506,sc1,1,1
507,sc1,1,1
508,sc1,1,1
509,sc1,1,1
510,sc1,1,1
511,sc1,1,1
512,sc1,1,1
513,sc1,1,1
514,sc1,1,1
515,sc1,1,1
516,sc1,1,1
517,sc1,1,1
518,sc1,1,1
519,sc1,1,1
520,sc1,1,1
521,sc1,1,1
522,sc1,1,1
523,sc1,1,1
524,sc1,1,1
525,sc1,1,1
526,sc1,1,1
527,sc1,1,1
528,sc1,1,1
529,sc1,1,1
530,sc1,1,1
531,sc1,1,1
532,sc1,1,1
533,sc1,1,1
534,sc1,1,1
535,sc1,1,1
536,sc1,1,1
537,sc1,1,1
538,sc1,1,1
539,sc1,1,1
540,sc1,1,1
541,sc1,1,1
542,sc1,1,1
543,sc1,1,1
544,sc1,1,1
545,sc1,1,1
546,sc1,1,1
547,sc1,1,1
548,sc1,1,1
549,sc1,1,1
550,sc1,1,1
551,sc1,1,1
552,sc1,1,1
553,sc1,1,1
554,sc1,1,1
555,sc1,1,1
556,sc1,1,1
557,sc1,1,1
558,sc1,1,1
559,sc1,1,1
560,sc1,1,1
561,sc1,1,1
562,sc1,1,1
563,sc1,1,1
564,sc1,1,1
565,sc1,1,1
566,sc1,1,1
567,sc1,1,1
568,sc1,1,1
569,sc1,1,1
570,sc1,1,1
571,sc1,1,1
572,sc1,1,1
573,sc1,1,1
574,sc1,1,1
575,sc1,1,1
576,sc1,1,1
577,sc1,1,1
578,sc1,1,1
579,sc1,1,1
580,sc1,1,1
581,sc1,1,1
582,sc1,1,1
583,sc1,1,1
584,sc1,1,1
585,sc1,1,1
586,sc1,1,1
587,sc1,1,1
588,sc1,1,1
589,sc1,1,1
590,sc1,1,1
591,sc1,1,1
592,sc1,1,1
593,sc1,1,1
594,sc1,1,1
595,sc1,1,1
596,sc1,1,1
597,sc1,1,1
598,sc1,1,1
599,sc1,1,1
600,sc1,1,1
601,sc1,1,1
602,sc1,1,1
603,sc1,1,1
604,sc1,1,1
605,sc1,1,1
606,sc1,1,1
607,sc1,1,1
608,sc1,1,1
609,sc1,1,1
610,sc1,1,1
611,sc1,1,1
612,sc1,1,1
613,sc1,1,1
614,sc1,1,1
615,sc1,1,1
616,sc1,1,1
617,sc1,1,1
618,sc1,1,1
619,sc1,1,1
620,sc1,1,1
621,sc1,1,1
622,sc1,1,1
623,sc1,1,1
624,sc1,1,1
625,sc1,1,1
626,sc1,1,1
627,sc1,1,1
628,sc1,1,1
629,sc1,1,1
630,sc1,1,1
631,sc1,1,1
632,sc1,1,1
633,sc1,1,1
634,sc1,1,1
635,sc1,1,1
636,sc1,1,1
637,sc1,1,1
638,sc1,1,1
639,sc1,1,1
640,sc1,1,1
641,sc1,1,1
642,sc1,1,1
643,sc1,1,1
644,sc1,1,1
645,sc1,1,1
646,sc1,1,1
647,sc1,1,1
648,sc1,1,1
649,sc1,1,1
650,sc1,1,1
651,sc1,1,1
652,sc1,1,1
653,sc1,1,1
654,sc1,1,1
655,sc1,1,1
656,sc1,1,1
657,sc1,1,1
658,sc1,1,1
659,sc1,1,1
660,sc1,1,1
661,sc1,1,1
662,sc1,1,1
663,sc1,1,1
664,sc1,1,1
665,sc1,1,1
666,sc1,1,1
667,sc1,1,1
668,sc1,1,1
669,sc1,1,1
670,sc1,1,1
671,sc1,1,1
672,sc1,1,1
673,sc1,1,1
674,sc1,1,1
675,sc1,1,1
676,sc1,1,1
677,sc1,1,1
678,sc1,1,1
679,sc1,1,1
680,sc1,1,1
681,sc1,1,1
682,sc1,1,1
683,sc1,1,1
684,sc1,1,1
685,sc1,1,1
686,sc1,1,1
687,sc1,1,1
688,sc1,1,1
689,sc1,1,1
690,sc1,1,1
691,sc1,1,1
692,sc1,1,1
693,sc1,1,1
694,sc1,1,1
695,sc1,1,1
696,sc1,1,1
697,sc1,1,1
698,sc1,1,1
699,sc1,1,1
700,sc1,1,1
701,sc1,1,1
702,sc1,1,1
703,sc1,1,1
704,sc1,1,1
705,sc1,1,1
706,sc1,1,1
707,sc1,1,1
708,sc1,1,1
709,sc1,1,1
710,sc1,1,1
711,sc1,1,1
712,sc1,1,1
713,sc1,1,1
714,sc1,1,1
715,sc1,1,1
716,sc1,1,1
717,sc1,1,1
718,sc1,1,1
719,sc1,1,1
720,sc1,1,1
